Player_Name,Club,Position,Total Goals,Total Assists,Penalties,Match_Played,Season,Competition
Ulmer,Salzburg,Defender,0,0,0,8,2021-2022,UCL
Gilberto,Benfica,Defender,1,0,0,9,2021-2022,UCL
Aaronson,Salzburg,Midfielder,0,2,0,8,2021-2022,UCL
Rafa Silva,Benfica,Forward,1,1,0,9,2021-2022,UCL
Gravenberch,Ajax,Midfielder,0,1,0,8,2021-2022,UCL
Kimmich,Bayern,Midfielder,0,0,0,8,2021-2022,UCL
Marcos Llorente,Atlético,Midfielder,0,0,0,9,2021-2022,UCL
Azpilicueta,Chelsea,Defender,1,1,0,9,2021-2022,UCL
David,LOSC,Forward,3,0,1,8,2021-2022,UCL
Mbappé,Paris,Forward,6,4,0,8,2021-2022,UCL
Havertz,Chelsea,Midfielder,3,0,0,9,2021-2022,UCL
Camara,Salzburg,Midfielder,0,0,0,8,2021-2022,UCL
Haller,Ajax,Forward,11,1,1,8,2021-2022,UCL
Bastoni,Inter,Defender,0,0,0,8,2021-2022,UCL
Koke,Atlético,Midfielder,0,1,0,9,2021-2022,UCL
Rúben Dias,Man. City,Defender,0,0,0,8,2021-2022,UCL
Mazraoui,Ajax,Defender,0,2,0,8,2021-2022,UCL
Gündoğan,Man. City,Midfielder,0,2,0,10,2021-2022,UCL
Upamecano,Bayern,Defender,0,0,0,8,2021-2022,UCL
Foden,Man. City,Midfielder,3,2,0,11,2021-2022,UCL
Seiwald,Salzburg,Midfielder,0,1,0,8,2021-2022,UCL
Estupiñán,Villarreal,Defender,0,0,0,10,2021-2022,UCL
Stones,Man. City,Defender,0,0,0,8,2021-2022,UCL
Brozović,Inter,Midfielder,1,0,0,8,2021-2022,UCL
Coman,Bayern,Forward,2,3,0,9,2021-2022,UCL
Messi,Paris,Forward,5,0,2,7,2021-2022,UCL
Tadić,Ajax,Forward,2,2,0,7,2021-2022,UCL
André,LOSC,Midfielder,0,0,0,7,2021-2022,UCL
Kimpembe,Paris,Defender,0,0,0,7,2021-2022,UCL
Adán,Sporting CP,Goalkeeper,0,0,0,7,2021-2022,UCL
